dataset,pair_idx,region,layer,mean_margin,final_model_prob1
real_PRS,7,c_term,1,-2.3052384316921235,0.9982020854949951
real_PRS,7,c_term,2,-1.4384003082911174,0.9982020854949951
real_PRS,7,c_term,3,-0.7365595817565918,0.9982020854949951
real_PRS,7,c_term,4,-0.5452279408772787,0.9982020854949951
real_PRS,7,c_term,5,0.4915069540341695,0.9982020854949951
real_PRS,7,c_term,6,1.2905821005503337,0.9982020854949951
real_PRS,7,c_term,7,2.0109124978383384,0.9982020854949951
real_PRS,7,c_term,8,2.5521006266276043,0.9982020854949951
real_PRS,7,c_term,9,3.094191376368205,0.9982020854949951
real_PRS,7,c_term,10,2.547404742240906,0.9982020854949951
real_PRS,7,middle,0,-1.6922153552373251,0.9982020854949951
real_PRS,7,middle,1,-1.8765965461730958,0.9982020854949951
real_PRS,7,middle,2,-1.056276297569275,0.9982020854949951
real_PRS,7,middle,3,-0.7736263910929362,0.9982020854949951
real_PRS,7,middle,4,-1.0525094032287599,0.9982020854949951
real_PRS,7,middle,5,-0.3940900723139445,0.9982020854949951
real_PRS,7,middle,6,-0.12781702876091003,0.9982020854949951
real_PRS,7,middle,7,0.7333424250284831,0.9982020854949951
real_PRS,7,middle,8,0.5570225616296133,0.9982020854949951
real_PRS,7,middle,9,0.7848493019739787,0.9982020854949951
real_PRS,7,middle,10,0.1890062967936198,0.9982020854949951
real_PRS,8,n_term,0,-1.24797625541687,0.9685558676719666
real_PRS,8,n_term,1,-1.3949210166931152,0.9685558676719666
real_PRS,8,n_term,2,-0.9409808317820231,0.9685558676719666
real_PRS,8,n_term,3,-0.6022017161051433,0.9685558676719666
real_PRS,8,n_term,4,-0.27055877049764,0.9685558676719666
real_PRS,8,n_term,5,0.3556246201197306,0.9685558676719666
real_PRS,8,n_term,6,0.6371537705262502,0.9685558676719666
real_PRS,8,n_term,7,1.095533843835195,0.9685558676719666
real_PRS,8,n_term,8,1.1153020183245341,0.9685558676719666
real_PRS,8,n_term,9,1.134582483768463,0.9685558676719666
real_PRS,8,n_term,10,0.2186922272046407,0.9685558676719666
real_PRS,8,c_term,0,-1.67763467853268,0.9685558676719666
real_PRS,8,c_term,1,-1.811933453877767,0.9685558676719666
real_PRS,8,c_term,2,-1.1706782499949138,0.9685558676719666
real_PRS,8,c_term,3,-0.908285649617513,0.9685558676719666
real_PRS,8,c_term,4,-1.0625662326812744,0.9685558676719666
real_PRS,8,c_term,5,-0.7598515113194784,0.9685558676719666
real_PRS,8,c_term,6,-0.9195584376653035,0.9685558676719666
real_PRS,8,c_term,7,0.23899193604787192,0.9685558676719666
real_PRS,8,c_term,8,0.6286093831062317,0.9685558676719666
real_PRS,8,c_term,9,0.6793569425741831,0.9685558676719666
real_PRS,8,c_term,10,0.8719143668810526,0.9685558676719666
real_PRS,8,middle,0,-1.412146011988322,0.9685558676719666
real_PRS,8,middle,1,-1.7127598563830058,0.9685558676719666
real_PRS,8,middle,2,-1.2556004285812379,0.9685558676719666
real_PRS,8,middle,3,-1.3976967175801596,0.9685558676719666
real_PRS,8,middle,4,-1.6046524206797281,0.9685558676719666
real_PRS,8,middle,5,-0.8332097848256429,0.9685558676719666
real_PRS,8,middle,6,-0.7555023526151975,0.9685558676719666
real_PRS,8,middle,7,-0.22634762922922771,0.9685558676719666
real_PRS,8,middle,8,0.2321831464767456,0.9685558676719666
real_PRS,8,middle,9,0.30470054149627684,0.9685558676719666
real_PRS,8,middle,10,-0.5919700557986896,0.9685558676719666
real_PRS,9,n_term,0,-1.3928538759549458,0.1655803620815277
real_PRS,9,n_term,1,-1.6061191280682883,0.1655803620815277
real_PRS,9,n_term,2,-1.3749492327372232,0.1655803620815277
real_PRS,9,n_term,3,-1.0477584838867187,0.1655803620815277
real_PRS,9,n_term,4,-1.143090788523356,0.1655803620815277
real_PRS,9,n_term,5,-0.7750277280807495,0.1655803620815277
real_PRS,9,n_term,6,-0.7561091979344686,0.1655803620815277
real_PRS,9,n_term,7,-0.7150990883509318,0.1655803620815277
real_PRS,9,n_term,8,-0.26518507798512775,0.1655803620815277
real_PRS,9,n_term,9,0.3177102247873942,0.1655803620815277
real_PRS,9,n_term,10,-0.5260475794474284,0.1655803620815277
real_PRS,9,c_term,0,-2.0344429930051167,0.1655803620815277
real_PRS,9,c_term,1,-2.1323442776997883,0.1655803620815277
